iter	Passed	Remaining
623	7858	4735
624	7870	4722
625	7881	4708
626	7893	4695
627	7904	4682
628	7915	4668
629	7926	4655
630	7937	4642
631	7949	4628
632	7960	4615
633	7971	4602
634	7982	4588
635	7993	4575
636	8011	4565
637	8025	4553
638	8036	4540
639	8047	4526
640	8059	4513
641	8070	4500
642	8081	4487
643	8093	4473
644	8104	4460
645	8115	4447
646	8127	4434
647	8138	4420
648	8150	4407
649	8160	4394
650	8172	4381
651	8183	4367
652	8194	4354
653	8205	4341
654	8216	4327
655	8228	4314
656	8239	4301
657	8249	4287
658	8261	4274
659	8272	4261
660	8283	4248
661	8294	4235
662	8305	4221
663	8316	4208
664	8327	4195
665	8338	4181
666	8349	4168
667	8360	4155
668	8372	4142
669	8383	4128
670	8394	4115
671	8406	4102
672	8418	4090
673	8429	4077
674	8440	4064
675	8451	4050
676	8463	4037
677	8476	4025
678	8490	4014
679	8505	4002
680	8519	3990
681	8534	3979
682	8548	3967
683	8564	3956
684	8581	3946
685	8597	3935
686	8614	3924
687	8631	3914
688	8647	3903
689	8663	3892
690	8678	3881
691	8691	3868
692	8702	3855
693	8714	3842
694	8726	3829
695	8737	3816
696	8749	3803
697	8760	3790
698	8772	3777
699	8784	3764
700	8795	3751
701	8807	3738
702	8818	3725
703	8829	3712
704	8840	3699
705	8851	3685
706	8862	3672
707	8873	3659
708	8884	3646
709	8896	3633
710	8908	3620
711	8919	3607
712	8930	3594
713	8941	3581
714	8952	3568
715	8964	3555
716	8976	3542
717	8991	3531
718	9007	3520
719	9024	3509
720	9039	3498
721	9056	3487
722	9073	3476
723	9090	3465
724	9106	3454
725	9123	3443
726	9142	3433
727	9160	3422
728	9180	3412
729	9198	3402
730	9213	3390
731	9226	3377
732	9238	3365
733	9252	3353
734	9264	3340
735	9280	3328
736	9294	3316
737	9309	3305
738	9324	3293
739	9339	3281
740	9355	3270
741	9369	3258
742	9385	3246
743	9398	3234
744	9410	3221
745	9422	3208
746	9434	3195
747	9446	3182
748	9458	3169
749	9469	3156
750	9481	3143
